"year","puma","sba","borough","n","MaleProp","FemaleProp","MedianAge","ImmProp","NImmProp","ImmProp2","MedianIncome","MedianRent","MedianHValue","RentingProp","Renters","OwningProp","Owners","Morters","MortProp","MedianRate","SheltBurd"
2008,"4003","BK03","BK",279,0.415770609318996,0.584229390681004,41,0.251256281407035,0.748743718592965,0.238095238095238,31280,985,650000,0.777777777777778,217,0.211469534050179,59,48,0.813559322033898,0.625,0.351364436619718
2008,"4004","BK04","BK",286,0.493006993006993,0.506993006993007,37,0.245714285714286,0.754285714285714,0.22093023255814,55000,1210,6e+05,0.702797202797203,201,0.29020979020979,83,63,0.759036144578313,0.6,0.284596516690856
2008,"4005","BK05","BK",254,0.539370078740158,0.460629921259843,38,0.18562874251497,0.81437125748503,0.164556962025316,60000,1340,1e+06,0.744094488188976,189,0.251968503937008,64,44,0.6875,0.6,0.276526724056381
2008,"4006","BK06","BK",263,0.403041825095057,0.596958174904943,40,0.393939393939394,0.606060606060606,0.347826086956522,40000,1027.5,4e+05,0.813688212927757,214,0.171102661596958,45,33,0.733333333333333,0.636,0.304285714285714
2008,"4007","BK07","BK",248,0.366935483870968,0.633064516129032,46,0.396648044692737,0.603351955307263,0.333333333333333,32000,950,425000,0.778225806451613,193,0.217741935483871,54,48,0.888888888888889,0.675,0.336057692307692
2008,"4008","BK08","BK",270,0.351851851851852,0.648148148148148,48.5,0.32579185520362,0.67420814479638,0.294392523364486,30000,900,450000,0.766666666666667,207,0.22962962962963,62,49,0.790322580645161,0.7,0.337865168539326
2008,"4009","BK09","BK",362,0.461325966850829,0.538674033149171,47,0.470817120622568,0.529182879377432,0.408906882591093,60000,1127.5,5e+05,0.364640883977901,132,0.629834254143646,228,178,0.780701754385965,0.625,0.2772
2008,"4010","BK10","BK",248,0.439516129032258,0.560483870967742,42,0.502564102564103,0.497435897435897,0.4,50000,1070.5,618000,0.685483870967742,170,0.314516129032258,78,63,0.807692307692308,0.657,0.339884393063584
2008,"4011","BK11","BK",222,0.423423423423423,0.576576576576577,43,0.512987012987013,0.487012987012987,0.47972972972973,40988,991.5,6e+05,0.855855855855856,190,0.130630630630631,29,23,0.793103448275862,0.675,0.303286199095023
2008,"4012","BK12","BK",252,0.55952380952381,0.44047619047619,41.5,0.553072625698324,0.446927374301676,0.56,49000,1101,6e+05,0.682539682539683,172,0.297619047619048,75,52,0.693333333333333,0.65,0.314149943203332
2008,"4013","BK13","BK",260,0.496153846153846,0.503846153846154,50,0.425925925925926,0.574074074074074,0.395238095238095,50000,1072,6e+05,0.634615384615385,165,0.357692307692308,93,57,0.612903225806452,0.625,0.290253385495035
2008,"4014","BK14","BK",260,0.492307692307692,0.507692307692308,48,0.595628415300546,0.404371584699454,0.569767441860465,30000,1043,6e+05,0.75,195,0.242307692307692,63,26,0.412698412698413,0.681,0.4425
2008,"4015","BK15","BK",291,0.47766323024055,0.52233676975945,47,0.663414634146341,0.336585365853659,0.668341708542714,36780,1025,7e+05,0.786941580756014,229,0.213058419243986,62,47,0.758064516129032,0.631,0.36920149308351
2008,"4016","BK16","BK",311,0.47588424437299,0.52411575562701,49,0.611940298507463,0.388059701492537,0.591623036649215,47880,988,5e+05,0.54983922829582,171,0.443729903536977,138,83,0.601449275362319,0.6,0.321111111111111
2008,"4017","BK17","BK",315,0.558730158730159,0.441269841269841,47,0.603864734299517,0.396135265700483,0.569306930693069,40000,1025,6e+05,0.644444444444444,203,0.33015873015873,104,75,0.721153846153846,0.6,0.36
2008,"4018","BK18","BK",271,0.416974169741697,0.583025830258303,53,0.570680628272251,0.429319371727749,0.566844919786096,28100,792.5,4e+05,0.671586715867159,182,0.328413284132841,89,47,0.528089887640449,0.612,0.325152294018736
2008,"4101","QN01","QN",429,0.524475524475524,0.475524475524476,42,0.521594684385382,0.478405315614618,0.462068965517241,45000,1170,550000,0.801864801864802,344,0.172494172494172,74,34,0.459459459459459,0.6,0.291432517758485
2008,"4102","QN02","QN",299,0.62876254180602,0.37123745819398,45,0.781659388646288,0.218340611353712,0.723502304147465,45000,1150,5e+05,0.632107023411371,189,0.357859531772575,107,64,0.598130841121495,0.6225,0.382497745188552
2008,"4103","QN03","QN",511,0.551859099804305,0.448140900195695,50,0.623931623931624,0.376068376068376,0.601744186046512,55000,1322.5,6e+05,0.50880626223092,260,0.483365949119374,247,143,0.578947368421053,0.6,0.314018867924528
2008,"4104","QN04","QN",234,0.542735042735043,0.457264957264957,50,0.518072289156627,0.481927710843373,0.49079754601227,66000,1465,650000,0.230769230769231,54,0.764957264957265,179,101,0.564245810055866,0.625,0.262258064516129
2008,"4105","QN05","QN",302,0.506622516556291,0.493377483443709,50,0.485714285714286,0.514285714285714,0.480769230769231,60000,1100,450000,0.251655629139073,76,0.745033112582781,225,161,0.715555555555556,0.675,0.303224137931034
2008,"4106","QN06","QN",314,0.554140127388535,0.445859872611465,46,0.577464788732394,0.422535211267606,0.541463414634146,58000,1158.5,450000,0.509554140127389,160,0.487261146496815,153,104,0.679738562091503,0.612,0.280811987704918
2008,"4107","QN07","QN",257,0.536964980544747,0.463035019455253,44,0.848484848484849,0.151515151515151,0.788659793814433,43250,1215,4e+05,0.75875486381323,195,0.229571984435798,59,42,0.711864406779661,0.6,0.324842016806723
2008,"4108","QN08","QN",274,0.562043795620438,0.437956204379562,49,0.549450549450549,0.450549450549451,0.488888888888889,63000,1160,4e+05,0.547445255474453,150,0.445255474452555,122,74,0.60655737704918,0.6,0.27792
2008,"4109","QN09","QN",296,0.601351351351351,0.398648648648649,45,0.697560975609756,0.302439024390244,0.643979057591623,48000,1255,487500,0.712837837837838,211,0.263513513513513,78,52,0.666666666666667,0.613,0.363076923076923
2008,"4110","QN10","QN",311,0.559485530546624,0.440514469453376,45,0.475728155339806,0.524271844660194,0.44949494949495,58000,1147.5,6e+05,0.572347266881029,178,0.42443729903537,132,82,0.621212121212121,0.605,0.294861111111111
2008,"4111","QN11","QN",237,0.544303797468354,0.455696202531646,43,0.623115577889447,0.376884422110553,0.597938144329897,49000,1194,475000,0.594936708860759,141,0.40506329113924,96,73,0.760416666666667,0.625,0.326591865357644
2008,"4112","QN12","QN",408,0.448529411764706,0.551470588235294,48,0.445652173913043,0.554347826086957,0.420664206642066,45500,1046,450000,0.5,204,0.495098039215686,202,146,0.722772277227723,0.65,0.326769230769231
2008,"4113","QN13","QN",215,0.558139534883721,0.441860465116279,48,0.524691358024691,0.475308641975309,0.477707006369427,54150,1195,5e+05,0.381395348837209,82,0.613953488372093,132,86,0.651515151515151,0.65,0.339668508287293
2008,"4114","QN14","QN",232,0.448275862068966,0.551724137931034,48.5,0.352631578947368,0.647368421052632,0.32620320855615,44500,1045.5,450000,0.53448275862069,124,0.456896551724138,106,62,0.584905660377358,0.6085,0.322683748441686
2011,"3701","BX01","BX",214,0.467289719626168,0.532710280373832,50,0.433155080213904,0.566844919786096,0.333333333333333,45000,1092.5,360000,0.635514018691589,136,0.331775700934579,71,38,0.535211267605634,0.55,0.323333333333333
2011,"3702","BX02","BX",241,0.419087136929461,0.580912863070539,49,0.5,0.5,0.444976076555024,36400,1158.5,350000,0.688796680497925,166,0.311203319502075,75,50,0.666666666666667,0.575,0.454153846153846
2011,"3703","BX03","BX",235,0.425531914893617,0.574468085106383,52,0.276595744680851,0.723404255319149,0.245989304812834,50000,1186.5,75000,0.408510638297872,96,0.565957446808511,133,48,0.360902255639098,0.578,0.2982
2011,"3704","BX04","BX",230,0.447826086956522,0.552173913043478,47.5,0.42156862745098,0.57843137254902,0.35678391959799,45000,1120,4e+05,0.752173913043478,173,0.230434782608696,53,39,0.735849056603774,0.5625,0.315384615384615
2011,"3705","BX05","BX",299,0.361204013377926,0.638795986622074,47,0.378787878787879,0.621212121212121,0.328185328185328,23000,963,389000,0.866220735785953,259,0.123745819397993,37,20,0.540540540540541,0.5625,0.431131365868767
2011,"3706","BX06","BX",230,0.460869565217391,0.539130434782609,42,0.525,0.475,0.442211055276382,30415,1102.5,150000,0.91304347826087,210,0.0739130434782609,17,13,0.764705882352941,0.575,0.46
2011,"3707","BX07","BX",225,0.395555555555556,0.604444444444444,46,0.563725490196078,0.436274509803922,0.469387755102041,21800,1044,475000,0.951111111111111,214,0.04,9,9,1,0.5125,0.506181818181818
2011,"3708","BX08","BX",268,0.391791044776119,0.608208955223881,48,0.535269709543568,0.464730290456432,0.472803347280335,27000,1010,50000,0.914179104477612,245,0.0783582089552239,21,7,0.333333333333333,0.6375,0.401313261661571
2011,"3709","BX09","BX",333,0.408408408408408,0.591591591591592,47,0.4,0.6,0.364285714285714,35000,1033,3e+05,0.747747747747748,249,0.237237237237237,79,55,0.69620253164557,0.508,0.356857142857143
2011,"3710","BX10","BX",262,0.32824427480916,0.67175572519084,48,0.36697247706422,0.63302752293578,0.305555555555556,18000,876,2e+05,0.908396946564885,238,0.0801526717557252,21,16,0.761904761904762,0.54,0.436153846153846
2011,"3801","MN01","MN",479,0.434237995824635,0.565762004175365,50,0.59478672985782,0.40521327014218,0.450602409638554,38500,1050,4e+05,0.899791231732777,431,0.0772442588726514,37,23,0.621621621621622,0.587,0.303673469387755
2011,"3802","MN02","MN",343,0.373177842565598,0.626822157434402,50,0.439024390243902,0.560975609756098,0.368794326241135,40000,850,5e+05,0.839650145772595,288,0.160349854227405,55,36,0.654545454545455,0.55,0.264788338015065
2011,"3803","MN03","MN",390,0.417948717948718,0.582051282051282,47.5,0.252336448598131,0.747663551401869,0.20125786163522,38473.5,816.5,5e+05,0.851282051282051,332,0.128205128205128,50,33,0.66,0.58,0.290672727272727
2011,"3804","MN04","MN",251,0.402390438247012,0.597609561752988,50,0.296296296296296,0.703703703703704,0.232227488151659,31935,855,25000,0.892430278884462,224,0.103585657370518,26,14,0.538461538461538,0.475,0.28646517739816
2011,"3805","MN05","MN",616,0.400974025974026,0.599025974025974,45,0.195970695970696,0.804029304029304,0.122448979591837,94000,2100,950700,0.626623376623377,386,0.368506493506494,227,132,0.581497797356828,0.539,0.319
2011,"3806","MN06","MN",530,0.462264150943396,0.537735849056604,48,0.211302211302211,0.788697788697789,0.160493827160494,93400,2010,9e+05,0.669811320754717,355,0.315094339622641,167,99,0.592814371257485,0.5,0.265033333333333
2011,"3807","MN07","MN",442,0.567873303167421,0.432126696832579,43,0.310144927536232,0.689855072463768,0.215743440233236,81000,1975,8e+05,0.794117647058823,351,0.19683257918552,87,58,0.666666666666667,0.5,0.310096153846154
2011,"3808","MN08","MN",459,0.4880174291939,0.5119825708061,41,0.218274111675127,0.781725888324873,0.145038167938931,101000,2110,650000,0.712418300653595,327,0.272331154684096,125,82,0.656,0.5,0.271578947368421
2011,"3809","MN09","MN",402,0.502487562189055,0.497512437810945,46.5,0.369942196531792,0.630057803468208,0.29080118694362,46000,1035,5e+05,0.878109452736318,353,0.119402985074627,48,24,0.5,0.575,0.282077170418006
2011,"3810","MN10","MN",411,0.532846715328467,0.467153284671533,40,0.28695652173913,0.71304347826087,0.215339233038348,100550,2305,1e+06,0.749391727493917,308,0.245742092457421,101,69,0.683168316831683,0.485,0.268088888888889
2011,"3901","SI01","SI",311,0.527331189710611,0.472668810289389,53,0.186440677966102,0.813559322033898,0.177474402730375,75000,1084,450000,0.231511254019293,72,0.742765273311897,231,161,0.696969696969697,0.575,0.304285714285714
2011,"3902","SI02","SI",251,0.418326693227092,0.581673306772908,50,0.336283185840708,0.663716814159292,0.31390134529148,60000,1250,450000,0.286852589641434,72,0.701195219123506,176,123,0.698863636363636,0.55,0.308599419448476
2011,"3903","SI03","SI",305,0.524590163934426,0.475409836065574,52,0.28125,0.71875,0.246478873239437,50855,1150,367000,0.409836065573771,125,0.573770491803279,175,133,0.76,0.575,0.393
2011,"4001","BK01","BK",301,0.458471760797342,0.541528239202658,39,0.31203007518797,0.68796992481203,0.263157894736842,52000,1315,6e+05,0.764119601328904,230,0.229235880398671,69,36,0.521739130434783,0.5285,0.333524027459954
2011,"4002","BK02","BK",208,0.384615384615385,0.615384615384615,42,0.46875,0.53125,0.412698412698413,37315,1169,525000,0.899038461538462,187,0.0865384615384615,18,9,0.5,0.7,0.338337846987136
2011,"4003","BK03","BK",255,0.403921568627451,0.596078431372549,45,0.273913043478261,0.726086956521739,0.224669603524229,34000,988,5e+05,0.803921568627451,205,0.176470588235294,45,37,0.822222222222222,0.55,0.329233410159876
2011,"4004","BK04","BK",280,0.435714285714286,0.564285714285714,42,0.251046025104602,0.748953974895398,0.205882352941176,57650,1245,625000,0.657142857142857,184,0.328571428571429,92,58,0.630434782608696,0.512,0.291428571428571
2011,"4005","BK05","BK",246,0.422764227642276,0.577235772357724,42,0.204878048780488,0.795121951219512,0.146341463414634,80400,1595,8e+05,0.617886178861789,152,0.365853658536585,90,67,0.744444444444444,0.525,0.261715645253917
2011,"4006","BK06","BK",245,0.363265306122449,0.636734693877551,40,0.378504672897196,0.621495327102804,0.316037735849057,43000,1095,5e+05,0.824489795918367,202,0.155102040816327,38,30,0.789473684210526,0.55,0.336
2011,"4007","BK07","BK",216,0.319444444444444,0.680555555555556,46.5,0.375,0.625,0.344262295081967,24838,1000,456500,0.865740740740741,187,0.12037037037037,26,23,0.884615384615385,0.6,0.40666149068323
2011,"4008","BK08","BK",257,0.404669260700389,0.595330739299611,45,0.554585152838428,0.445414847161572,0.520179372197309,35400,1130,4e+05,0.77431906614786,199,0.221789883268482,57,47,0.824561403508772,0.613,0.37192819106019
2011,"4009","BK09","BK",338,0.455621301775148,0.544378698224852,50,0.576512455516014,0.423487544483986,0.564285714285714,50000,1120,450000,0.505917159763314,171,0.479289940828402,162,131,0.808641975308642,0.6,0.315652173913043
2011,"4010","BK10","BK",237,0.337552742616034,0.662447257383966,49,0.739130434782609,0.260869565217391,0.681372549019608,43150,1095,430000,0.69620253164557,165,0.282700421940928,67,52,0.776119402985075,0.525,0.345454545454545
2011,"4011","BK11","BK",208,0.389423076923077,0.610576923076923,46,0.565445026178011,0.434554973821989,0.492063492063492,44800,1070,6e+05,0.860576923076923,179,0.134615384615385,28,18,0.642857142857143,0.6305,0.294654498044329
2011,"4012","BK12","BK",213,0.516431924882629,0.483568075117371,45,0.571428571428571,0.428571428571429,0.553846153846154,40100,1177,6e+05,0.732394366197183,156,0.248826291079812,53,29,0.547169811320755,0.5625,0.380689655172414
2011,"4013","BK13","BK",264,0.53030303030303,0.46969696969697,49,0.393665158371041,0.606334841628959,0.3710407239819,48000,1200,6e+05,0.602272727272727,159,0.348484848484849,92,53,0.576086956521739,0.55,0.329854852480789
2011,"4014","BK14","BK",240,0.495833333333333,0.504166666666667,47.5,0.595348837209302,0.404651162790698,0.556603773584906,43100,1184.5,6e+05,0.65,156,0.345833333333333,83,47,0.566265060240964,0.55,0.478836218616877
2011,"4015","BK15","BK",294,0.472789115646259,0.527210884353742,49.5,0.561338289962825,0.438661710037175,0.522556390977444,49700,1195,450000,0.741496598639456,218,0.241496598639456,71,51,0.71830985915493,0.594,0.357142857142857
2011,"4016","BK16","BK",294,0.510204081632653,0.489795918367347,52,0.592307692307692,0.407692307692308,0.560311284046693,50000,1080,5e+05,0.568027210884354,167,0.404761904761905,119,67,0.563025210084034,0.525,0.385714285714286
2011,"4017","BK17","BK",340,0.526470588235294,0.473529411764706,49,0.662337662337662,0.337662337662338,0.625850340136054,44000,1115,671500,0.676470588235294,230,0.3,102,58,0.568627450980392,0.584,0.352631578947368
2011,"4018","BK18","BK",250,0.452,0.548,53.5,0.690265486725664,0.309734513274336,0.621621621621622,30000,1050,3e+05,0.692,173,0.296,74,38,0.513513513513513,0.6185,0.421266233766234
2011,"4101","QN01","QN",366,0.483606557377049,0.516393442622951,42,0.513333333333333,0.486666666666667,0.483108108108108,48400,1270,5e+05,0.827868852459016,303,0.16120218579235,59,33,0.559322033898305,0.5275,0.296842105263158
2011,"4102","QN02","QN",278,0.564748201438849,0.435251798561151,45.5,0.760683760683761,0.239316239316239,0.733624454148472,50000,1326,4e+05,0.701438848920863,195,0.276978417266187,77,48,0.623376623376623,0.525,0.354995904556216
2011,"4103","QN03","QN",456,0.548245614035088,0.451754385964912,50,0.7025,0.2975,0.677749360613811,50000,1345,5e+05,0.541666666666667,247,0.442982456140351,202,113,0.559405940594059,0.5295,0.390748299319728
2011,"4104","QN04","QN",232,0.556034482758621,0.443965517241379,54,0.444444444444444,0.555555555555556,0.413265306122449,65000,1400,5e+05,0.271551724137931,63,0.711206896551724,165,87,0.527272727272727,0.55,0.290970443349754
2011,"4105","QN05","QN",305,0.534426229508197,0.465573770491803,52,0.584615384615385,0.415384615384615,0.548262548262548,74600,1350,4e+05,0.298360655737705,91,0.698360655737705,213,153,0.71830985915493,0.55,0.239947916666667
2011,"4106","QN06","QN",285,0.526315789473684,0.473684210526316,50,0.55327868852459,0.44672131147541,0.520661157024793,58100,1232.5,459000,0.512280701754386,146,0.473684210526316,135,88,0.651851851851852,0.55,0.32
2011,"4107","QN07","QN",216,0.560185185185185,0.439814814814815,47,0.846590909090909,0.153409090909091,0.812865497076023,45000,1248.5,585000,0.731481481481482,158,0.240740740740741,52,34,0.653846153846154,0.575,0.348387096774194
